address, categories, city, country, latitude, longitude,name, postalCode, province, cleaned_name, is_tourist_province,rest_per_km2_province, rest_per_1000people_province,api_call_made,schools,university,hospital,park,offices,mall,all_lat_long
0,3200 W Mercury Blvd,Fast Food,Hampton,US,37.033187,-76.41782099999998,Arby's,23666,VA,arbys,1.0,0.0048983662335376765,0.05881879876985354,True,0,0,0,0,0,0,
0,3200 W Mercury Blvd,Fast Food,Hampton,US,37.033187,-76.41782099999998,Arby's,23666,VA,arbys,1.0,0.0048983662335376765,0.05881879876985354,True,0,0,0,0,0,0,
1,109 Market Dr,Fast Food,Emporia,US,36.703902,-77.54146300000002,Arby's,23847,VA,arbys,1.0,0.0048983662335376765,0.05881879876985354,True,0,0,1,0,0,0,[[ 36.70042407 -77.53664726]]
2,1700 Timberwood Blvd,Fast Food Restaurants,Charlottesville,US,38.129807,-78.437118,Arby's,22911,VA,arbys,1.0,0.0048983662335376765,0.05881879876985354,True,0,1,2,0,0,0,"[[ 38.13297213 -78.43718925]
 [ 38.13229492 -78.43354225]
 [ 38.12697467 -78.44194937]]"
3,193 Grant Ave,Fast Food Restaurant,Auburn,US,42.948394,-76.54861700000002,Arby's,13021,NY,arbys,1.0,0.0039981320202856045,0.02497158842175928,True,0,0,0,0,0,0,
4,2255 Us Hwy 27,,Clermont,US,28.539043,-81.73818100000003,Arby's,34711,FL,arbys,1.0,0.006292885583243932,0.04103416422820911,True,1,0,0,2,1,0,"[[ 28.53508083 -81.73754151]
 [ 28.53416277 -81.73778098]
 [ 28.53809783 -81.73947038]
 [ 28.53905637 -81.74066188]]"
5,4620 Tuscarawas St W,Fast Food,Canton,US,40.795141,-81.431983,Arby's,44708,OH,arbys,0.0,0.007757797957081708,0.07023431914029772,True,1,0,2,1,0,0,"[[ 40.79253204 -81.43806772]
 [ 40.79532393 -81.42687088]
 [ 40.79517898 -81.43235672]
 [ 40.79801941 -81.42595673]]"
6,3250 Erie Blvd E,Fast Food,Syracuse,US,43.049934,-76.07256600000002,Arby's,13214,NY,arbys,1.0,0.0039981320202856045,0.02497158842175928,True,2,0,0,3,2,0,"[[ 43.04760678 -76.07594009]
 [ 43.04615091 -76.07007697]
 [ 43.05396    -76.07539   ]
 [ 43.053133   -76.07637   ]
 [ 43.05222628 -76.06846289]
 [ 43.05137634 -76.07094574]
 [ 43.053799   -76.078299  ]]"
7,100 Mall Blvd,Fast Food Restaurants,Lakewood,US,42.09619,-79.306838,Arby's,14750,NY,arbys,1.0,0.0039981320202856045,0.02497158842175928,True,0,0,0,1,2,6,"[[ 42.096121   -79.305391  ]
 [ 42.0975869  -79.304227  ]
 [ 42.09744635 -79.30396617]
 [ 42.09526094 -79.30356503]
 [ 42.09615258 -79.30463791]
 [ 42.096121   -79.305391  ]
 [ 42.09620893 -79.30435987]
 [ 42.0975058  -79.3041699 ]
 [ 42.0969646  -79.30305004]]"
8,21717 Timberlake Rd,Fast Food,Lynchburg,US,37.326647,-79.250656,Arby's,24502,VA,arbys,1.0,0.0048983662335376765,0.05881879876985354,True,0,0,1,1,1,0,"[[ 37.33080945 -79.24854817]
 [ 37.3274236  -79.25025361]
 [ 37.32863    -79.2454    ]]"
9,10438 Bennett Rd,Fast Food Restaurant,Fredonia,US,42.455818,-79.310045,Arby's,14063,NY,arbys,1.0,0.0039981320202856045,0.02497158842175928,True,0,0,0,1,0,0,[[ 42.45426178 -79.30931854]]
10,2543 Cleveland Ave Sw,Fast Food Restaurant,Canton,US,40.769806,-81.385882,Arby's,44707,OH,arbys,0.0,0.007757797957081708,0.07023431914029772,True,0,0,0,1,0,0,[[ 40.76823783 -81.38057991]]
11,798 E Main St,Fast Food Restaurants,Cobleskill,US,42.679896,-74.4734,Arby's,12043,NY,arbys,1.0,0.0039981320202856045,0.02497158842175928,True,0,0,0,2,1,0,"[[ 42.683371   -74.475581  ]
 [ 42.68375251 -74.47585702]
 [ 42.68108597 -74.47386182]]"
12,2802 E Main St,Fast Food Restaurants,Endicott,US,42.10560200000001,-76.0294,Arby's,13760,NY,arbys,1.0,0.0039981320202856045,0.02497158842175928,True,2,0,0,2,1,0,"[[ 42.10472126 -76.03245638]
 [ 42.10979195 -76.02634207]
 [ 42.10650153 -76.0290791 ]
 [ 42.104856   -76.022441  ]
 [ 42.1065147  -76.02665941]]"
